,review_id,zone,review,clean_review,neg,neu,pos,compound,pred_reg_logist,pred_mnb,predicted_rating
0,RTDVIT5SUMJP8,Europe,"New Fire TV Lite is a fantastic budget streaming device! Upgrade!. I own the previous non-4k model, and this is a much better experience. First off, It's faster than previous fire sticks. No more menu lag. Things are smoother and faster overall. The user interface is snappier and more responsive all around, unlike the older Fire Stick, which does occasionally lag. It's crisp and clear, and intuitive to operate - and set-up is a piece of cake.If you are wondering whether an elderly or technophobic person can handle the setup process, the answer is yes. The onscreen prompts guide you through everything, and should be easy for anyone to follow, even if don't consider yourself tech savvy. And in terms of the physical hardware, there are only like 2 steps: 1) Connect the Stick to a power source 2) Plug the Stick into any open HDMI port, which you'll find on the back or side of your TV.Also, If you're wondering if the Fire TV Stick (with TV controls) suits you more. I would say it’s a question of personal preference. The Fire TV Stick Lite version does not support Dolby Atmos audio and the included Alexa Voice Remote Lite does not have power or volume buttons. Personally, the Lite version is fine for me as I have another remote which controls my TV’s volume and power button and I do not have a soundbar. However, I would recommend anyone with different devices connected to their TV such as soundbars to buy the Fire TV Stick (with TV controls) version as this would allow you to control everything all at once, however it is slightly higher in price compared to this one.Finally If you're wondering whether the Lite version is a gimmick or whether it's worth it, the answer is: it's worth it, because it's as if they ironed out all the little kinks and pain points to get the user to their chosen content as quickly as possible. All the little improvements in terms of the speed/function, and the upgraded Alexa remote with the new “guide” button which takes you straight to your videos makes the Lite version a pleasure to use.Amazon needs to keep up the good work. This Lite stick is a solid product and an excellent upgrade (for those on a budget) from the previous model. Hope this helps!",new tv lite fantast budget stream devic upgrad previou non4k model better experi faster previou stick menu lag thing smoother faster overal user interfac snappier respons unlik older stick doe occasion lag crisp clear intuit oper setup piec cakeif wonder elderli technophob person handl setup process answer ye onscreen prompt guid easi follow dont consid tech savvi term physic hardwar like 2 step 1 connect stick power sourc 2 plug stick open hdmi port youll tvalso your wonder tv stick tv control suit say question person prefer tv stick lite version doe support dolbi atmo audio includ alexa voic remot lite doe power volum button person lite version fine remot control tv volum power button soundbar recommend differ devic connect tv soundbar buy tv stick tv control version allow control slightli higher price compar onefin your wonder lite version gimmick worth answer worth iron littl kink pain point user chosen content quickli possibl littl improv term speedfunct upgrad alexa remot new guid button take straight video make lite version pleasur useamazon need good work lite stick solid product excel upgrad budget previou model hope help,0.039,0.789,0.172,0.9705,True,False,4
1,RW3QA8WMV68UM,Europe,"Like any other Firestick, but with one irritating feature....so far. All functionality is quick and responsive as you would expect so can't be faulted in that respect.However, if, like me, you might side load some additional Apps onto your Firestick, which are not linked to your Amazon Account, you might see that the image / icon for the App does not appear in your Apps list and instead you get a ""greyed out"" box. The App will install and work fine once you open it, but the obvious visual for it is missing on your home screen and My Apps lists and if you have a few of them, you will have to guess which app you are opening. Example pictured.This Fire TV Lite OS is Version 7.2.2.3, presumably bang up to date, and this does not happen (in my experience) with previous OS on the 4k Stick for example which is version 6.2.7.3.I have tried uninstalling and reinstalling and Factory resets but it is still the same. Might this be a ""glitch"" with the latest OS, Version 7, that needs fixing?",like firestick irrit featureso far function quick respons expect fault respecthowev like load addit app firestick link amazon account imag icon app doe appear app list instead grey box app instal work fine open obviou visual miss home screen app list guess app open exampl picturedthi tv lite os version 7223 presum bang date doe happen experi previou os 4k stick exampl version 6273i tri uninstal reinstal factori reset glitch latest os version 7 need fix,0.052,0.829,0.118,0.5267,False,False,4
2,RGYB2ILPLMBQ7,Europe,"Just as good as more expensive version. We already have the more expensive fire stick in our main tv which we love.Our second tv doesnt support Brit Box so we decided on another fire stick but opted for this version as its quite a bit cheaper.The only difference is three buttons on the remote.  The ability to turn the tv off and adjust the volume.  Weve never used these buttons anyway as we just use the ones on the tv remote so it was a no brainer to go for the cheaper option.Fire sticks are so easy to set up and use.Plug the little unit into one of your tvs usb ports, plug into the mains.  Switch tv on, select fire stick and follow the onscreen instructions.It supports all the catch up channels plus Netflix ,Brit Box, Disney, the list goes on.Really good interface and will either update your tv to a smart one or update your already smart tv should it not support certain apps.I would certainly recommend this version for price, ease of use and a great viewing experience.",just good expens version expens stick main tv loveour second tv doesnt support brit box decid stick opt version quit bit cheaperth differ button remot abil turn tv adjust volum weve use button just use one tv remot brainer cheaper optionfir stick easi set useplug littl unit tv usb port plug main switch tv select stick follow onscreen instructionsit support catch channel plu netflix brit box disney list goe onreal good interfac updat tv smart updat smart tv support certain appsi certainli recommend version price eas use great view experi,0.064,0.75,0.187,0.9205,True,False,4
3,R1UNR02XJQECC8,Europe,"All apps perfect, inc. BBC & Side loaded ones!. I have every generation of stick except the 4k and they are all still going strong, even the G1. I use them for everything, prime video, Netflix, britbox and all the mainstream apps like iplayer but I also sideload non amazon apps like KODI.  I had absolutely no problem uploading the apps (see pic) and they all loaded with their icons. They work swiftly and I am hugely impressed with the speed of this stick.I loaded in this order. Sign in with Amazon, go to settings and enable apps from unknown sources and ADB debugging in the developer options. Then  loaded the mainstream apps from the amazon store and then side loaded my other apps. All done without problem in less than 30 mins.If, like the other reviewer you struggle with grey icons then Google it. It is not a new problem and there are countless sites with help on how to sort it out.As for the stick itself I really recommend it. I have no need for 4k (due to 720p eyes), i never use the TV buttons on my other controls and I have no need for dolby atmos.  My only gripe would be some price creep  I paid less for my last full featured stick than this lite version. Either way, this is the best streaming device around - buy it without fear if disappointment.",app perfect bbc load one gener stick 4k go strong g1 use prime video netflix britbox mainstream app like iplay sideload non amazon app like kodi absolut problem upload app pic load icon work swiftli huge impress speed sticki load order sign amazon set enabl app unknown sourc adb debug develop option load mainstream app amazon store load app problem 30 minsif like review struggl grey icon googl new problem countless site help sort outa stick realli recommend need 4k 720p eye use tv button control need dolbi atmo gripe price creep paid featur stick lite version way best stream devic buy fear disappoint,0.103,0.619,0.278,0.9628,True,False,4
4,RMDSC4C34RDNQ,Europe,Fire sorted. I would like to take this opportunity to amend my initial review as I was a little harsh on amazon not having the i player which has now been sorted and I have it downloaded now this audition to my amazon family of gadgets is now all singing and dancing many thanks to the lovely lady who took the time to ring me and get things sorted out,sort like opportun amend initi review littl harsh amazon have player sort download audit amazon famili gadget sing danc thank love ladi took time ring thing sort,0.079,0.575,0.345,0.8271,True,True,0
5,R110AVCR3RZU7F,North-America,"Poor return policy. Be sure you want this product before you order it.  This is because you can only return it if ""unopened, unused & unwashed... and still in its original condition"" -- plus they will ""charge a 15% - 25% re-stocking fee.""  You can't even feel the comforter without breaking the sealed packaging.  The package I received felt very heavy, but once I took the comforter out of it's sealed packing, it felt much more lightweight, which is what I wanted.  The instructions say “wash before using,"" but the comforter had no odor to it and seemed fine to use without washing.  However, when laying under the comforter it felt heavier than some reviewers had indicated, and it certainly felt heavier than a light blanket.  The quality of the comforter seemed to be good, and I expect in the end I'll be happy with it.",poor return polici sure want product order return unopen unus unwash origin condit plu charg 15 25 restock fee feel comfort break seal packag packag receiv felt heavi took comfort seal pack felt lightweight want instruct say wash use comfort odor fine use wash lay comfort felt heavier review indic certainli felt heavier light blanket qualiti comfort good expect end ill happi,0.076,0.641,0.283,0.9042,False,False,0
6,R2VZC56EC9Q3OA,Europe,"BBC iPlayer, Sport and News confirmed working (October 2020 at the time of writing). Superb product, easy to set up and use with a huge amount of free channels and apps.Home media is also fast and 100% reliable with the Plex app, downloaded straight from Amazon and no need to fiddle about with developer options etc.Tip: Although the included remote control utilises RF (radio frequency) instead of the usual IR (infra-red), your television / universal remote will work with Fire TV if your telly has the CEC (Consumer Electronics Control) function (this may be renamed on your box, so it is worth googling).",bbc iplay sport news confirm work octob 2020 time write superb product easi set use huge free channel appshom media fast 100 reliabl plex app download straight amazon need fiddl develop option etctip includ remot control utilis rf radio frequenc instead usual ir infrar televis univers remot work tv telli cec consum electron control function renam box worth googl,0.0,0.777,0.223,0.9217,True,False,4
7,R2YIDSQLIBMKG4,North-America,"Not what I expected, but not the worst.... Here we go...I spent hours reading product reviews for comforters that were washable, warm and within my budget (under $50). I purchased 2 of these comforters and they arrived yesterday. First off, the Navy and Gray colors aren'tt as dark as the picture shows, no big deal to me as I wasn't concerned about the color as much as I was about it being washable and warm!We washed the Navy one first in a front loading washer - these are big comforters, not too puffy or thick but thick enough that it was a squeeze into the washer. That being said, just run an extra rinse cycle so all the detergent comes out and hang dry over a shower curtain rod or staircase bannister to let it completely dry.Now here's why this product only received 3 STARS: As soon as I took it out and inspected it, so many seams were loose and coming undone! No stuffing had come out, but after one wash seams are already coming loose. We wash our blankets often, and the whole point of finding a washable comforter was so that we didn't need to buy duvet covers. However, after already washing both blankets, it's safe to say that we will be using duvet covers to protect them for more long term use.Now for the positive: This blanket is so warm! Not too fluffy, which is what we wanted, but warm and cozy! I slept so well with it last night inside my new duvet, although I'm annoyed that the blanket seems to already show lesser quality than expected, inside a duvet it should last MUCH longer than if we used and washed it regularly.Overall, not a horrible purchase. In my opinion, will not sustain regular washes, but with a duvet it will last! That being said, buy the cheapest color I'd you are going to end up putting it into a duvet!",expect worst goi spent hour read product review comfort washabl warm budget 50 purchas 2 comfort arriv yesterday navi gray color arentt dark pictur show big deal wasnt concern color washabl warmw wash navi load washer big comfort puffi squeez washer said just run extra rins cycl deterg come hang dri shower curtain rod staircas bannist let complet drynow here product receiv 3 star soon took inspect seam loos come undon stuf come wash seam come loos wash blanket point find washabl comfort didnt need buy duvet cover wash blanket safe say use duvet cover protect long term usenow posit blanket warm fluffi want warm cozi slept night insid new duvet im annoy blanket lesser qualiti expect insid duvet longer use wash regularlyoveral horribl purchas opinion sustain regular wash duvet said buy cheapest color id go end put duvet,0.045,0.809,0.146,0.8885,False,False,2
8,ROP8GGXF7O2GV,Europe,"Useless. Had one and all I got was a bit that says HDMI 1 and that’s it. No trying to load, no amazon. Amazon replaced and second one still the same.Customer services is useless. Been trying to get them to help me sort it. They said they’d phone but kept saying they couldn’t.On chat for 2 hours and still no further and gone through 8 different customer service people as they keep changing them through the chat!So 3 different firestic lites later and they kept saying to replace it. I was speaking to the manager in the end as change in customer service assistants were winding me up. Wasn’t until we were trying to find a solution that I read the small bit on the box that said uk may have issues with it. Never heard that before. Anyway seems certain tv makes aren’t compatible. And my tv isn’t old or a cheap make either. Come to a decision to just refund and I’ll just stick to a normal firestick I already have.",useless got bit say hdmi 1 that tri load amazon amazon replac second samecustom servic useless tri help sort said theyd phone kept say couldnton chat 2 hour gone 8 differ custom servic peopl chang chatso 3 differ firest lite later kept say replac speak manag end chang custom servic assist wind wasnt tri solut read small bit box said uk issu heard certain tv make arent compat tv isnt old cheap make come decis just refund ill just stick normal firestick,0.096,0.811,0.094,-0.296,False,False,0
9,RQNQXSW4TLJIM,North-America,Good quality. It is very soft and seems to be better quality than I expected for that price. We can’t keep the cat off of it,good qualiti soft better qualiti expect price cat,0.0,0.508,0.492,0.7003,True,True,4
